,Index,TimeStamp(s),Description,EventCategory,InfoCategory,ImpactsResource,Component,Layer,Member,Resource
57,83918,49380.040717,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
58,83974,49380.056302,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
59,84071,49380.297663,Event_Set_TwoDDistance,Information,UIEvent,True,ImagingAppDisplay,Applications,TwoDDistance,MeasToolsAvailability
60,84099,49380.336755,Event_Erase_AllMeasurements,Information,UIEvent,True,ImagingAppDisplay,Applications,EraseAllMeasurements,MeasToolsActiveState
61,84129,49380.363714,Event_Set_TwoDDistance,Information,UIEvent,True,ImagingAppDisplay,Applications,TwoDDistance,MeasToolsAvailability
62,84157,49380.401507,Event_Anchor_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,AnchorCaliper,MeasToolsActiveState
63,84176,49380.422061,Event_End_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EndMeasurement,MeasToolsActiveState
64,84228,49380.511459,Event_Step_CinePosition1,Information,UIEvent,True,ImagingAppDisplay,Applications,SamplePosition,PlayMode
65,84287,49380.763058,Event_Set_TwoDDistance,Information,UIEvent,True,ImagingAppDisplay,Applications,TwoDDistance,MeasToolsAvailability
66,84322,49380.801636,Event_Erase_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EraseMeasurement,MeasToolsActiveState
67,84352,49380.828358,Event_Set_TwoDDistance,Information,UIEvent,True,ImagingAppDisplay,Applications,TwoDDistance,MeasToolsAvailability
68,84380,49380.862546,Event_Anchor_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,AnchorCaliper,MeasToolsActiveState
69,84399,49380.885223,Event_End_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EndMeasurement,MeasToolsActiveState
70,84449,49380.966197,Event_Step_CinePosition1,Information,UIEvent,True,ImagingAppDisplay,Applications,SamplePosition,PlayMode
71,84510,49440.198032,Event_Step_CinePosition1,Information,UIEvent,True,ImagingAppDisplay,Applications,SamplePosition,PlayMode
72,84564,49440.431872,Event_Set_DualAcquisitionMode,Information,UIEvent,True,WorkflowImagingControls,Applications,DualAcquisitionMode,MultiPartAcquisition
73,84606,49440.611122,Event_Reset_ImagingMode,Information,UIEvent,True,Workflow,Applications,ResetImagingMode,UserWorkflowControls
74,84708,49440.896777,Event_Set_DualAcquisitionMode,Information,UIEvent,True,WorkflowImagingControls,Applications,DualAcquisitionMode,MultiPartAcquisition
75,84763,49440.927022,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
76,84807,49440.943174,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
77,84820,49500.153873,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
78,84833,49500.405963,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
79,84846,49500.708799,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
80,84902,49500.724956,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
81,85018,49500.965791,Event_Step_ActiveMultiPart,Information,UIEvent,True,WorkflowImagingControls,Applications,ActivePart,MultiPartAcquisition
82,85132,49560.271451,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
83,85176,49560.288215,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
84,85189,49560.503869,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
85,85202,49560.755667,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
86,85215,49620.059242,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
87,85228,49620.42252,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
88,85284,49620.439155,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
89,85387,49620.685146,Event_Set_DisplayZoomMagnification1,Information,UIEvent,True,ImagingAppDisplay,Applications,DisplayZoomMagnification,Echo2dPostProcess
90,85475,49620.713106,Event_Step_ActiveMultiPart,Information,UIEvent,True,WorkflowImagingControls,Applications,ActivePart,MultiPartAcquisition
91,85546,49620.750991,Event_Set_TwoDDistance,Information,UIEvent,True,ImagingAppDisplay,Applications,TwoDDistance,MeasToolsAvailability
92,85592,49620.79501,Event_Set_CaliperPosition,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPosition,MeasToolsActiveState
93,85641,49620.822231,Event_Anchor_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,AnchorCaliper,MeasToolsActiveState
94,85676,49620.848073,Event_Set_CaliperPosition,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPosition,MeasToolsActiveState
95,85727,49620.876579,Event_End_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EndMeasurement,MeasToolsActiveState
96,85802,49620.956993,Event_Step_ActiveMultiPart,Information,UIEvent,True,WorkflowImagingControls,Applications,ActivePart,MultiPartAcquisition
97,85883,49680.016147,Event_Step_CinePosition1,Information,UIEvent,True,ImagingAppDisplay,Applications,SamplePosition,PlayMode
98,85975,49680.052392,Event_Step_ActiveMultiPart,Information,UIEvent,True,WorkflowImagingControls,Applications,ActivePart,MultiPartAcquisition
99,86045,49680.110419,Event_Set_DualAcquisitionMode,Information,UIEvent,True,WorkflowImagingControls,Applications,DualAcquisitionMode,MultiPartAcquisition
100,86087,49680.235444,Event_Reset_ImagingMode,Information,UIEvent,True,Workflow,Applications,ResetImagingMode,UserWorkflowControls
101,86224,49680.529956,Event_Reset_ImagingMode,Information,UIEvent,True,Workflow,Applications,ResetImagingMode,UserWorkflowControls
102,86336,49680.796566,Event_Set_Color,Information,UIEvent,True,WorkflowImagingModes,Applications,Color,ActiveMode
103,86416,49740.078735,Event_Set_DisplayZoomMagnification0,Information,UIEvent,True,ImagingAppDisplay,Applications,DisplayZoomMagnification,Echo2dPostProcess
104,86475,49740.097472,Event_Set_DisplayZoomPan0,Information,UIEvent,True,ImagingAppDisplay,Applications,DisplayZoomPan,Echo2dPostProcess
105,86527,49740.118637,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
106,86540,49740.336357,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
107,86553,49740.592048,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
108,86572,49740.899179,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
109,86585,49800.26687,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
110,86641,49800.28326,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
111,86739,49800.558087,Event_Set_TwoDDistance,Information,UIEvent,True,ImagingAppDisplay,Applications,TwoDDistance,MeasToolsAvailability
112,86767,49800.594373,Event_Anchor_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,AnchorCaliper,MeasToolsActiveState
113,86786,49800.615684,Event_End_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EndMeasurement,MeasToolsActiveState
114,86836,49800.69292,Event_Step_CinePosition0,Information,UIEvent,True,ImagingAppDisplay,Applications,SamplePosition,PlayMode
115,86897,49800.936707,Event_Step_CinePosition0,Information,UIEvent,True,ImagingAppDisplay,Applications,SamplePosition,PlayMode
116,86968,49860.175648,Event_Reset_ImagingMode,Information,UIEvent,True,Workflow,Applications,ResetImagingMode,UserWorkflowControls
117,87070,49860.478883,Event_Set_DualAcquisitionMode,Information,UIEvent,True,WorkflowImagingControls,Applications,DualAcquisitionMode,MultiPartAcquisition
118,87125,49860.519224,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
119,87169,49860.541196,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
120,87182,49860.752789,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
121,87195,49920.005032,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
122,87208,49920.304454,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
123,87264,49920.320257,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
124,87380,49920.56559,Event_Step_ActiveMultiPart,Information,UIEvent,True,WorkflowImagingControls,Applications,ActivePart,MultiPartAcquisition
125,87494,49920.875192,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
126,87538,49920.891755,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
127,87551,49980.099204,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
128,87564,49980.350723,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
129,87577,49980.650453,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
130,87590,50040.010443,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
131,87646,50040.026396,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
132,87749,50040.267302,Event_Set_DisplayZoomMagnification1,Information,UIEvent,True,ImagingAppDisplay,Applications,DisplayZoomMagnification,Echo2dPostProcess
133,87802,50040.287249,Event_Set_TwoDEllipse,Information,UIEvent,True,ImagingAppDisplay,Applications,TwoDEllipse,MeasToolsAvailability
134,87830,50040.324523,Event_Anchor_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,AnchorCaliper,MeasToolsActiveState
135,87852,50040.350046,Event_Set_NextActiveCaliper,Information,UIEvent,True,ImagingAppDisplay,Applications,NextActiveCaliper,MeasToolsActiveState
136,87868,50040.3706,Event_End_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EndMeasurement,MeasToolsActiveState
137,87930,50040.46417,Event_Select_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPositions,MeasToolsActiveState
138,88036,50040.519603,Event_Select_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPositions,MeasToolsActiveState
139,88079,50040.558564,Event_Set_CaliperPosition,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPosition,MeasToolsActiveState
140,88154,50040.594215,Event_Select_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPositions,MeasToolsActiveState
141,88193,50040.619661,Event_Set_CaliperPosition,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPosition,MeasToolsActiveState
142,88252,50040.645183,Event_Set_NextActiveCaliper,Information,UIEvent,True,ImagingAppDisplay,Applications,NextActiveCaliper,MeasToolsActiveState
143,88268,50040.667612,Event_End_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EndMeasurement,MeasToolsActiveState
144,88351,50040.759348,Event_Step_ActiveMultiPart,Information,UIEvent,True,WorkflowImagingControls,Applications,ActivePart,MultiPartAcquisition
145,88424,50040.818489,Event_Step_CinePosition0,Information,UIEvent,True,ImagingAppDisplay,Applications,SamplePosition,PlayMode
146,88483,50040.844986,Event_Step_CinePosition0,Information,UIEvent,True,ImagingAppDisplay,Applications,SamplePosition,PlayMode
147,88535,50040.875591,Event_Set_DualAcquisitionMode,Information,UIEvent,True,WorkflowImagingControls,Applications,DualAcquisitionMode,MultiPartAcquisition
148,88577,50040.99253,Event_Reset_ImagingMode,Information,UIEvent,True,Workflow,Applications,ResetImagingMode,UserWorkflowControls
149,88696,50100.284357,Event_Reset_ImagingMode,Information,UIEvent,True,Workflow,Applications,ResetImagingMode,UserWorkflowControls
150,88794,50100.550371,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
151,88807,50100.763529,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
152,88820,50160.015629,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
153,88833,50160.318844,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
154,88846,50160.683126,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
155,88902,50160.698934,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
156,88999,50160.938554,Event_Set_TwoDEllipse,Information,UIEvent,True,ImagingAppDisplay,Applications,TwoDEllipse,MeasToolsAvailability
157,89027,50160.974176,Event_Anchor_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,AnchorCaliper,MeasToolsActiveState
158,89049,50160.997761,Event_Set_NextActiveCaliper,Information,UIEvent,True,ImagingAppDisplay,Applications,NextActiveCaliper,MeasToolsActiveState
159,89065,50220.01978,Event_End_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EndMeasurement,MeasToolsActiveState
160,89127,50220.111689,Event_Select_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPositions,MeasToolsActiveState
161,89233,50220.158207,Event_Select_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPositions,MeasToolsActiveState
162,89276,50220.186912,Event_Set_CaliperPosition,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPosition,MeasToolsActiveState
163,89351,50220.221533,Event_Select_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPositions,MeasToolsActiveState
164,89390,50220.248834,Event_Set_CaliperPosition,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPosition,MeasToolsActiveState
165,89449,50220.277655,Event_Set_NextActiveCaliper,Information,UIEvent,True,ImagingAppDisplay,Applications,NextActiveCaliper,MeasToolsActiveState
166,89465,50220.297508,Event_End_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EndMeasurement,MeasToolsActiveState
167,89515,50220.384988,Event_Step_CinePosition0,Information,UIEvent,True,ImagingAppDisplay,Applications,SamplePosition,PlayMode
168,89576,50220.615753,Event_Step_CinePosition0,Information,UIEvent,True,ImagingAppDisplay,Applications,SamplePosition,PlayMode
169,89632,50220.660693,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
170,89708,50220.913402,Event_Reset_ImagingMode,Information,UIEvent,True,Workflow,Applications,ResetImagingMode,UserWorkflowControls
171,89810,50280.182184,Event_Set_DualAcquisitionMode,Information,UIEvent,True,WorkflowImagingControls,Applications,DualAcquisitionMode,MultiPartAcquisition
172,89865,50280.210925,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
173,89909,50280.228566,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
174,89922,50280.436181,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
175,89935,50280.687754,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
176,89948,50280.98724,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
177,89961,50340.346683,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
178,90017,50340.3628,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
179,90133,50340.603663,Event_Step_ActiveMultiPart,Information,UIEvent,True,WorkflowImagingControls,Applications,ActivePart,MultiPartAcquisition
180,90247,50340.909923,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
181,90291,50340.926967,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
182,90304,50400.133791,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
183,90317,50400.385458,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
184,90330,50400.68552,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
185,90343,50460.045117,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
186,90399,50460.061032,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
187,90496,50460.301437,Event_Set_TwoDEllipse,Information,UIEvent,True,ImagingAppDisplay,Applications,TwoDEllipse,MeasToolsAvailability
188,90524,50460.340633,Event_Anchor_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,AnchorCaliper,MeasToolsActiveState
189,90546,50460.364137,Event_Set_NextActiveCaliper,Information,UIEvent,True,ImagingAppDisplay,Applications,NextActiveCaliper,MeasToolsActiveState
190,90562,50460.385375,Event_End_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EndMeasurement,MeasToolsActiveState
191,90624,50460.480373,Event_Select_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPositions,MeasToolsActiveState
192,90730,50460.532673,Event_Select_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPositions,MeasToolsActiveState
193,90773,50460.558023,Event_Set_CaliperPosition,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPosition,MeasToolsActiveState
194,90848,50460.591762,Event_Select_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPositions,MeasToolsActiveState
195,90887,50460.615589,Event_Set_CaliperPosition,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPosition,MeasToolsActiveState
196,90946,50460.642798,Event_Set_NextActiveCaliper,Information,UIEvent,True,ImagingAppDisplay,Applications,NextActiveCaliper,MeasToolsActiveState
197,90962,50460.663237,Event_End_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EndMeasurement,MeasToolsActiveState
198,91012,50460.757449,Event_Step_CinePosition1,Information,UIEvent,True,ImagingAppDisplay,Applications,SamplePosition,PlayMode
199,91073,50460.990144,Event_Step_CinePosition1,Information,UIEvent,True,ImagingAppDisplay,Applications,SamplePosition,PlayMode
200,91167,50520.229928,Event_Step_ActiveMultiPart,Information,UIEvent,True,WorkflowImagingControls,Applications,ActivePart,MultiPartAcquisition
201,91240,50520.288388,Event_Step_CinePosition0,Information,UIEvent,True,ImagingAppDisplay,Applications,SamplePosition,PlayMode
202,91285,50520.313611,Event_Erase_AllMeasurements,Information,UIEvent,True,ImagingAppDisplay,Applications,EraseAllMeasurements,MeasToolsActiveState
203,91310,50520.34394,Event_Set_DualAcquisitionMode,Information,UIEvent,True,WorkflowImagingControls,Applications,DualAcquisitionMode,MultiPartAcquisition
204,91352,50520.480133,Event_Reset_ImagingMode,Information,UIEvent,True,Workflow,Applications,ResetImagingMode,UserWorkflowControls
205,91454,50520.763654,Event_Set_DualAcquisitionMode,Information,UIEvent,True,WorkflowImagingControls,Applications,DualAcquisitionMode,MultiPartAcquisition
206,91509,50520.795139,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
207,91553,50520.81182,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
208,91566,50580.022275,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
209,91579,50580.273705,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
210,91592,50580.573854,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
211,91648,50580.590166,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
212,91765,50580.83706,Event_Step_ActiveMultiPart,Information,UIEvent,True,WorkflowImagingControls,Applications,ActivePart,MultiPartAcquisition
213,91879,50640.142771,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
214,91923,50640.160371,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
215,91936,50640.368343,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
216,91949,50640.619661,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
217,91968,50640.919466,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
218,91981,50700.282613,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
219,92037,50700.298711,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
220,92134,50700.535174,Event_Set_TwoDEllipse,Information,UIEvent,True,ImagingAppDisplay,Applications,TwoDEllipse,MeasToolsAvailability
221,92162,50700.573843,Event_Anchor_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,AnchorCaliper,MeasToolsActiveState
222,92184,50700.596728,Event_Set_NextActiveCaliper,Information,UIEvent,True,ImagingAppDisplay,Applications,NextActiveCaliper,MeasToolsActiveState
223,92200,50700.617858,Event_End_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EndMeasurement,MeasToolsActiveState
224,92262,50700.698783,Event_Select_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPositions,MeasToolsActiveState
225,92368,50700.745045,Event_Select_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPositions,MeasToolsActiveState
226,92411,50700.771102,Event_Set_CaliperPosition,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPosition,MeasToolsActiveState
227,92486,50700.806193,Event_Select_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPositions,MeasToolsActiveState
228,92525,50700.83384,Event_Set_CaliperPosition,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPosition,MeasToolsActiveState
229,92584,50700.863014,Event_Set_NextActiveCaliper,Information,UIEvent,True,ImagingAppDisplay,Applications,NextActiveCaliper,MeasToolsActiveState
